"Période du ",,8/1/14,"au",,,10/31/14,,,,,,,,,,
,"Catégorie objets","Déposés",,,,"Restitués Perdants",,,"Taux",,,"Restitués Inventeurs",,,"Taux",
"AUTRES  SPORT","Autres",1,111,112,0.2361524026,0,3,3,0.00%,2.70%,2.68%,0,0,,0.00%,0.00%
"MONTRE BRACELET","Accessoires",0,351,351,0.7400847618,0,9,9,,2.56%,2.56%,0,0,,,0.00%
"CARTE VITALE","Cartes et documents",3,535,538,1.1343749341,0,13,13,0.00%,2.43%,2.42%,0,0,,0.00%,0.00%
"LUNETTES DE VUE","Accessoires",1,1431,1432,3.019377148,1,32,33,100.00%,2.24%,2.30%,0,0,,0.00%,0.00%
"TROUSSE D'ÉCOLIER","Autres",0,46,46,0.0969911654,0,1,1,,2.17%,2.17%,0,0,,,0.00%
"CARTE SCOLAIRE / D'ETUDIANT","Cartes et documents",26,310,336,0.7084572079,4,3,7,15.38%,0.97%,2.08%,0,0,,0.00%,0.00%
"CARTE BANCAIRE","Cartes et documents",3,552,555,1.1702194952,1,10,11,33.33%,1.81%,1.98%,0,0,,0.00%,0.00%
"CARTE PASS NAVIGO","Cartes et documents",0,216,216,0.4554367765,0,4,4,,1.85%,1.85%,0,0,,,0.00%
"BADGE","Portefeuilles et clés",3,216,219,0.4617622873,0,4,4,0.00%,1.85%,1.83%,0,0,,0.00%,0.00%
"LIVRE / ROMAN","Autres",4,186,190,0.400615683,1,2,3,25.00%,1.08%,1.58%,0,0,,0.00%,0.00%
"BRACELET / GOURMETTE","Accessoires",0,344,344,0.7253252367,0,5,5,,1.45%,1.45%,0,0,,,0.00%
"BAGUE","Accessoires",1,154,155,0.3268180572,0,2,2,0.00%,1.30%,1.29%,0,0,,0.00%,0.00%
"PELUCHE / POUPÉE","Autres",0,79,79,0.166571784,0,1,1,,1.27%,1.27%,0,0,,,0.00%
"CLE USB","High Tech, vidéo, musique",0,85,85,0.1792228056,0,1,1,,1.18%,1.18%,0,0,,,0.00%
"LUNETTES DE SOLEIL","Accessoires",0,614,614,1.2946212073,0,7,7,,1.14%,1.14%,0,0,,,0.00%
"SWEAT SHIRT","Vêtements",0,94,94,0.1981993379,0,1,1,,1.06%,1.06%,0,0,,,0.00%
"PARAPLUIE CHAMBERLAIN","Accessoires",0,325,325,0.6852636684,0,3,3,,0.92%,0.92%,0,0,,,0.00%
"BILLET","Cartes et documents",0,121,121,0.255128935,0,1,1,,0.83%,0.83%,0,0,,,0.00%
"PARAPLUIE DROIT","Accessoires",0,125,125,0.2635629494,0,1,1,,0.80%,0.80%,0,0,,,0.00%
"AUTRES CARTES DE TRANSPORT","Cartes et documents",3,136,139,0.2930819997,1,0,1,33.33%,0.00%,0.72%,0,0,,0.00%,0.00%
"CASQUETTE","Accessoires",0,154,154,0.3247095536,0,1,1,,0.65%,0.65%,0,0,,,0.00%
"PULL / GILET","Vêtements",0,487,487,1.0268412508,0,3,3,,0.62%,0.62%,0,0,,,0.00%
"ÉCHARPE / FOULARD / CHÂLE","Accessoires",0,527,527,1.1111813946,0,3,3,,0.57%,0.57%,0,0,,,0.00%
